"id","name","fullName","activeIngridient","activeMoiety","routeOfAdministration","drugbank_id","genericMedicine","representedOrganization"
1134,"Fludarabine Phosphate","Fludarabine Phosphate (Injection, Powder, Lyophilized, For Solution)","Fludarabine Phosphate","Fludarabine","Intravenous","","Fludarabine Phosphate","Hospira, Inc."
1135,"Spironolactone","Spironolactone (Tablet, Film Coated)","Spironolactone","spironolactone","Oral","DB00421","spironolactone","Qualitest Pharmaceuticals"
1136,"Myoview","Myoview (Injection, Powder, Lyophilized, For Solution)","Tetrofosmin","Tetrofosmin","Intravenous","","Tetrofosmin","GE Healthcare, Medi-Physics, Inc."
1137,"BENICAR","BENICAR (Tablet, Film Coated)","olmesartan medoxomil","olmesartan","Oral","","olmesartan medoxomil","Daiichi Sankyo"
1138,"SELEGILINE HYDROCHLORIDE","SELEGILINE HYDROCHLORIDE (Tablet)","selegiline hydrochloride","selegiline hydrochloride","Oral","","SELEGILINE HYDROCHLORIDE","Endo Pharmaceuticals Inc."
1139,"Cimetidine in Sodium Chloride","Cimetidine in Sodium Chloride (Injection, Solution)","Cimetidine","Cimetidine","Intravenous","","Cimetidine and Sodium Chloride","HOSPIRA, INC."
1140,"Furosemide","Furosemide (Tablet)","Furosemide","Furosemide","Oral","DB00695","Furosemide","IVAX Pharmaceuticals, Inc."
1141,"Ciprofloxacin","Ciprofloxacin (Tablet, Film Coated, Extended Release)","ciprofloxacin hydrochloride","ciprofloxacin","Oral","","ciprofloxacin hydrochloride","Dr. Reddy's Laboratories Limited"
1142,"Metformin Hydrochloride","Metformin Hydrochloride (Tablet)","Metformin hydrochloride","Metformin","Oral","","Metformin Hydrochloride","Aurobindo Pharma Limited"
1143,"PEPCID","PEPCID (Injection, Solution)","famotidine","famotidine","Intravenous","DB00927","famotidine","Merck&Co., Inc."
1144,"Desoximetasone","Desoximetasone (Cream)","Desoximetasone","Desoximetasone","Topical","DB00547","Desoximetasone","Perrigo New York, Inc."
1145,"Duricef","Duricef (Powder, For Suspension)","cefadroxil","cefadroxil","Oral","DB01140","cefadroxil","Warner Chilcott, Inc."
1146,"Doxycycline","Doxycycline (Capsule)","Doxycycline","Doxycycline","Oral","DB00254","Doxycycline","Par Pharmaceutical Inc."
1147,"Ciclopirox","Ciclopirox (Lotion)","ciclopirox olamine","ciclopirox","Topical","DB01188","Ciclopirox","E. FOUGERA and CO."
1148,"THAM Solution","THAM Solution (Injection, Solution)","tromethamine","tromethamine","Intravenous","","Tromethamine Injection","Hospira, Inc."
1149,"Phentermine Hydrochloride","Phentermine Hydrochloride (Capsule)","Phentermine Hydrochloride","Phentermine","Oral","","Phentermine Hydrochloride","Lannett Company, Inc."
1150,"Erythromycin Ethylsuccinate","Erythromycin Ethylsuccinate (Tablet)","Erythromycin ethylsuccinate","Erythromycin","Oral","","erythromycin ethylsuccinate","Abbott Laboratories"
1151,"Darvocet-N","Darvocet-N (Tablet, Film Coated)","propoxyphene napsylate","propoxyphene","Oral","","propoxyphene napsylate and acetaminophen","Xanodyne pharmaceuticals, inc."
1152,"Tobrex","Tobrex (Solution)","tobramycin","tobramycin","Ophthalmic","DB00684","tobramycin","ALCON LABORATORIES, INC."
1153,"Suboxone","Suboxone (Tablet)","buprenorphine hydrochloride","buprenorphine","Sublingual","","buprenorphine hydrochloride and naloxone hydrochloride","Reckitt Benckiser Pharmaceuticals, Inc."
1154,"ANADROL","ANADROL (Tablet)","oxymetholone","oxymetholone","Oral","","oxymetholone","Unimed Pharmaceuticals, Inc."
1155,"OMNIPRED","OMNIPRED (Suspension)","prednisolone acetate","prednisolone","Ophthalmic","","prednisolone acetate","Alcon Laboratories, INC."
1156,"VIDEX EC","VIDEX EC (Capsule, Delayed Release)","didanosine","didanosine","Oral","DB00900","didanosine","Bristol-Myers Squibb"
1157,"Aminophylline","Aminophylline (Tablet)","Aminophylline dihydrate","Aminophylline","Oral","","Aminophylline dihydrate","West-ward Pharmaceutical Corp."
1158,"Dipivefrin Hydrochloride","Dipivefrin Hydrochloride (Solution/ Drops)","DIPIVEFRIN HYDROCHLORIDE","DIPIVEFRIN","Ophthalmic","","Dipivefrin Hydrochloride","Bausch&Lomb Incorporated"
1159,"PROSOM","PROSOM (Tablet)","estazolam","estazolam","Oral","DB01215","estazolam","Abbott Laboratories"
1160,"Promethazine Hydrochloride","Promethazine Hydrochloride (Injection, Solution)","promethazine hydrochloride","promethazine","Intramuscular","","Promethazine Hydrochloride","Baxter Healthcare Corporation"
1161,"Amoxicillin","Amoxicillin (Capsule)","amoxicillin","amoxicillin","Oral","DB01060","Amoxicillin","Teva Pharmaceuticals USA"
1162,"Prandin","Prandin (Tablet)","repaglinide","repaglinide","Oral","DB00912","repaglinide","Novo Nordisk Inc."
1163,"Midodrine HCl","Midodrine HCl (Tablet)","midodrine hydrochloride","midodrine","Oral","","midodrine hydrochloride","UPSHER-SMITH LABORATORIES, INC."
1164,"Lorazepam","Lorazepam (Injection, Solution)","Lorazepam","Lorazepam","Intramuscular","DB00186","Lorazepam","HOSPIRA, INC."
1165,"BENZTROPINE MESYLATE","BENZTROPINE MESYLATE (Tablet)","BENZTROPINE MESYLATE","BENZTROPINE","Oral","","BENZTROPINE MESYLATE","COREPHARMA LLC."
1166,"Xopenex","Xopenex (Inhalant)","levalbuterol hydrochloride","levalbuterol","Oral","","levalbuterol hydrochloride","Sepracor Inc."
1167,"Pacerone","Pacerone (Tablet)","amiodarone hydrochloride","amiodarone","Oral","","amiodarone hydrochloride","UPSHER-SMITH LABORATORIES, INC."
1168,"Indium in 111 Oxyquinoline","Indium in 111 Oxyquinoline (Solution)","Indium In-111 Oxyquinoline","Indium In-111 Oxyquinoline","Intravenous","","Indium In-111 Oxyquinoline","Amersham Health Medi Physics, Inc."
1169,"Hydromorphone Hydrochloride","Hydromorphone Hydrochloride (Tablet)","Hydromorphone Hydrochloride","hydromorphone","Oral","","Hydromorphone Hydrochloride","Mallinckrodt Inc."
1170,"Ceftriaxone","Ceftriaxone (Injection, Solution)","Ceftriaxone Sodium","Ceftriaxone","Intravenous","","Ceftriaxone Sodium","Baxter Healthcare Corporation"
1171,"Trileptal","Trileptal (Tablet, Film Coated)","oxcarbazepine","oxcarbazepine","Oral","DB00776","oxcarbazepine","Novartis Pharmaceuticals Corporation"
1172,"ULTANE","ULTANE (Liquid)","sevoflurane","sevoflurane","Respiratory (inhalation)","DB01236","sevoflurane","Abbott Laboratories"
1173,"Famotidine","Famotidine (Tablet, Film Coated)","Famotidine","Famotidine","Oral","DB00927","Famotidine","IVAX Pharmaceuticals, Inc."
1174,"Dextrose and Sodium Chloride","Dextrose and Sodium Chloride (Injection, Solution)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose monohydrate and Sodium Chloride","Hospira, Inc."
1175,"Roferon-A","Roferon-A (Injection, Solution)","interferon alfa-2a","interferon alfa-2a","Subcutaneous","","interferon alfa-2a","Roche Pharmaceuticals"
1176,"Nevanac","Nevanac (Suspension)","nepafenac","nepafenac","Ophthalmic","","nepafenac","Alcon Laboratories, Inc."
1177,"Methazolamide","Methazolamide (Tablet)","Methazolamide","Methazolamide","Oral","DB00703","Methazolamide","Sandoz Inc."
1178,"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate","Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate (Tablet)","Dextroamphetamine saccharate","Dextroamphetamine","Oral","","Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate and amphetamine sulfate","COREPHARMA LLC."
1179,"Sodium Chloride","Sodium Chloride (Injection, Solution)","Sodium Chloride","Sodium Chloride","Intravenous","","Sodium Chloride","Hospira, Inc."
1180,"PROPOXYPHENE NAPSYLATE AND ACETOMINOPHEN","PROPOXYPHENE NAPSYLATE AND ACETOMINOPHEN (Tablet, Film Coated)","Propoxyphene Napsylate","propoxyphene","Oral","","PROPOXYPHENE NAPSYLATE AND ACETOMINOPHEN","Andrx Pharmaceuticals, Inc."
1181,"Kemadrin","Kemadrin (Tablet)","procyclidine hydrochloride","procyclidine","Oral","","procyclidine hydrochloride","Monarch Pharmaceuticals, Inc."
1182,"Clonidine Hydrochloride","Clonidine Hydrochloride (Tablet)","Clonidine Hydrochloride","Clonidine","Oral","","Clonidine Hydrochloride","Mylan Pharmaceuticals Inc."
1183,"LO/OVRAL 28","LO/OVRAL 28 (Kit)","norgestrel","norgestrel","Oral","","Norgestrel and Ethinyl Estradiol","Wyeth Laboratories"
1184,"SIMCOR","SIMCOR (Tablet, Film Coated, Extended Release)","simvastatin","simvastatin","Oral","","simvastatin and niacin","Abbott Laboratories, Inc."
1185,"Transderm Scop","Transderm Scop (Patch)","scopolamine","scopolamine","Transdermal","DB00747","scopolamine","Novartis Consumer Health, Inc."
1186,"Naphcon A","Naphcon A (Solution/ Drops)","naphazoline hydrochloride","naphazoline","Ophthalmic","","naphazoline hydrochloride and pheniramine maleate","ALCON LABORATORIES, INC."
1187,"Nystatin","Nystatin (Cream)","Nystatin","Nystatin","Topical","DB00646","Nystatin","Taro Pharmaceuticals U.S.A., Inc."
1188,"Azithromycin","Azithromycin (Powder, For Suspension)","azithromycin monohydrate","azithromycin","Oral","","Azithromycin monohydrate","TEVA Pharmaceuticals USA"
1189,"Lotensin","Lotensin (Tablet)","Benazepril hydrochloride","Benazepril","Oral","","Benazepril Hydrochloride","Novartis Pharmaceuticals Corporation"
1190,"Griseofulvin","Griseofulvin (Suspension)","Griseofulvin","Griseofulvin","Oral","DB00400","Griseofulvin","Glades Pharmaceuticals, LLC"
1191,"LidoPen","LidoPen (Injection)","Lidocaine Hydrochloride","Lidocaine","Intramuscular","","Lidocaine Hydrochloride","MERIDIAN MEDICAL TECHNOLOGIES, INC."
1192,"Ondansetron Hydrochloride","Ondansetron Hydrochloride (Tablet, Film Coated)","Ondansetron Hydrochloride","Ondansetron","Oral","","Ondansetron Hydrochloride","Teva Pharmaceuticals USA"
1193,"Betoptic Pilo","Betoptic Pilo (Kit)","Betaxolol Hydrochloride","Betaxolol","Ophthalmic","","betaxolol hydrochloride and pilocarpine hydrochloride","Alcon Laboratories, Inc."
1194,"Renografin-60","Renografin-60 (Injection, Solution)","diatrizoate meglumine","diatrizoic acid","Intravenous","","diatrizoate meglumine and diatrizoate sodium","Bracco Diagnostics Inc."
1195,"Dantrium","Dantrium (Injection)","dantrolene sodium","dantrolene","Intravenous","","dantrolene sodium","JHP Pharmaceuticals, LLC"
1196,"Dantrolene Sodium","Dantrolene Sodium (Injection, Solution)","Dantrolene Sodium","Dantrolene","Intravenous","","Dantrolene Sodium","US WorldMeds, LLC"
1197,"Oxycodone and Acetaminophen","Oxycodone and Acetaminophen (Tablet)","oxycodone hydrochloride","oxycodone","Oral","","Oxycodone and Acetaminophen","MIKART, INC."
1198,"Follistim","Follistim (Kit)","follitropin beta","follitropin beta","Subcutaneous","DB00066","follitropin beta","Organon USA, Inc."
1199,"PROPECIA","PROPECIA (Tablet, Film Coated)","finasteride","finasteride","Oral","DB01216","finasteride","Merck&Co., Inc."
1200,"Tobramycin","Tobramycin (Injection, Solution)","Tobramycin sulfate","Tobramycin","Intravenous","","Tobramycin sulfate","Hospira, Inc."
1201,"Zaditor","Zaditor (Solution)","ketotifen fumarate","ketotifen","Ophthalmic","","Ketotifen Fumarate","Novartis Ophthalmics"
1202,"Exubera","Exubera (Kit)","insulin human","insulin human","Respiratory (inhalation)","","insulin human","Pfizer Inc."
1203,"Sandostatin","Sandostatin (Injection, Solution)","octreotide","octreotide","Intravenous","","octreotide acetate","Novartis Pharmaceuticals Corporation"
1204,"Flurbiprofen","Flurbiprofen (Tablet, Film Coated)","Flurbiprofen","Flurbiprofen","Oral","DB00712","Flurbiprofen","TEVA PHARMACEITICALS USA"
1205,"HYDROCODONE BITARTATE AND ACETAMINOPHEN","HYDROCODONE BITARTATE AND ACETAMINOPHEN (Liquid)","HYDROCODONE BITARTRATE","HYDROCODONE","Oral","","HYDROCODONE BITARTATE AND ACETAMINOPHEN",""
1206,"Acetic Acid","Acetic Acid (Irrigant)","Acetic Acid","Acetic Acid","Irrigation","DB03166","Acetic Acid","Hospira, Inc."
1207,"PRED G","PRED G (Suspension)","gentamicin sulfate","gentamicin","Ophthalmic","","gentamicin sulfate and prednisolone acetate","Allergan, Inc."
1208,"CEFAZOLIN","CEFAZOLIN (Injection, Powder, Lyophilized, For Solution)","cefazolin sodium","cefazolin","Intramuscular","DB01327","cefazolin","GlaxoSmithKline"
1209,"Isolyte P in Dextrose","Isolyte P in Dextrose (Injection)","Dextrose monohydrate","Dextrose","Intravenous","","Dextrose monohydrate, sodium acetate, magnesium acetate, potassium chloride and potassium phosphate, dibasic","B. Braun Medical Inc."
1210,"Meloxicam","Meloxicam (Tablet)","meloxicam","meloxicam","Oral","DB00814","Meloxicam","Dr. Reddy's Laboratories Limited"
1211,"Dextrose","Dextrose (Injection, Solution)","Dextrose Hydrous","Dextrose","Intravenous","","Dextrose","Hospira, Inc."
1212,"Fludrocortisone Acetate","Fludrocortisone Acetate (Tablet)","Fludrocortisone Acetate","Fludrocortisone","Oral","","Fludrocortisone Acetate","Global Pharmaceuticals"
1213,"ADVAIR DISKUS","ADVAIR DISKUS (Powder)","FLUTICASONE PROPIONATE","FLUTICASONE","Respiratory (inhalation)","","fluticasone propionate and salmeterol","GlaxoSmithKline"
1214,"PEPCID","PEPCID (Powder, For Suspension)","famotidine","famotidine","Oral","DB00927","FAMOTIDINE","Salix Pharmaceuticals, Inc"
1215,"Ampicillin and Sulbactam","Ampicillin and Sulbactam (Injection, Powder, For Solution)","ampicillin sodium","ampicillin","Intravenous","","Ampicillin sodium and Sulbactam sodium","Baxter Healthcare Corporation"
1216,"Minocycline Hydrochloride","Minocycline Hydrochloride (Tablet, Film Coated)","Minocycline Hydrochloride","Minocycline","Oral","","Minocycline Hydrochloride","Indicus Pharma LLC"
1217,"TENORMIN","TENORMIN (Injection, Solution)","Atenolol","Atenolol","Intravenous","DB00335","Atenolol","AstraZeneca Pharmaceuticals LP"
1218,"Gentamicin Sulfate","Gentamicin Sulfate (Injection, Solution, Concentrate)","Gentamicin sulfate","Gentamicin","Intravenous","","Gentamicin Sulfate","Hospira, Inc."
1219,"Betamethasone Dipropionate","Betamethasone Dipropionate (Lotion)","betamethasone dipropionate","betamethasone","Topical","","betamethasone dipropionate","E. FOUGERA&CO."
1220,"Kytril","Kytril (Injection, Solution)","granisetron hydrochloride","granisetron","Intravenous","","granisetron hydrochloride","Roche Pharmaceuticals"
1221,"Ketorolac Tromethamine","Ketorolac Tromethamine (Injection, Solution)","KETOROLAC TROMETHAMINE","KETOROLAC","Intramuscular","","Ketorolac Tromethamine","Bedford Laboratories"
1222,"LEXIVA","LEXIVA (Tablet)","fosamprenavir calcium","amprenavir","Oral","","fosamprenavir calcium","GlaxoSmithKline"
1223,"Flecainide Acetate","Flecainide Acetate (Tablet)","flecainide acetate","flecainide","Oral","","Flecainide Acetate","Boehringer Ingelheim"
1224,"Glyburide","Glyburide (Tablet)","Glyburide","Glyburide","Oral","","Glyburide","West-ward Pharmaceutical Corp."
1225,"Megestrol Acetate","Megestrol Acetate (Tablet)","Megestrol Acetate","Megestrol","Oral","","Megestrol Acetate","Par Pharmaceutical Inc"
1226,"Desmopressin Acetate","Desmopressin Acetate (Tablet)","Desmopressin Acetate","Desmopressin","Oral","","Desmopressin Acetate","TEVA PHARMACEUTICALS USA"
1227,"Fluvoxamine Maleate","Fluvoxamine Maleate (Tablet)","fluvoxamine maleate","fluvoxamine","Oral","","Fluvoxamine maleate","CARACO PHARMACEUTICAL LABORATORIES, LTD."
1228,"ACULAR LS","ACULAR LS (Solution)","ketorolac tromethamine","ketorolac","Ophthalmic","","ketorolac tromethamine","Allergan, Inc."
1229,"Amantadine Hydrochloride","Amantadine Hydrochloride (Capsule)","amantadine hydrochloride","amantadine","Oral","","Amantadine Hydrochloride","Sandoz Inc."
1230,"PRED-MILD","PRED-MILD (Suspension)","prednisolone acetate","prednisolone","Ophthalmic","","prednisolone acetate","Allergan, Inc."
1231,"Dibenzyline","Dibenzyline (Capsule)","Phenoxybenzamine Hydrochloride","Phenoxybenzamine","Oral","","Phenoxybenzamine Hydrochloride","WellSpring Pharmaceutical Corporation"
1232,"Indium DTPA In 111","Indium DTPA In 111 (Solution)","Indium IN-111 Pentetate Disodium","Indium IN-111 Pentetate Disodium","Intrathecal","","Indium IN-111 Pentetate Disodium","GE Healthcare, Medi-Physics, Inc."
1233,"ELIMITE","ELIMITE (Cream)","permethrin","permethrin","Cutaneous","DB04930","permethrin","Allergan"
1234,"ZOLADEX","ZOLADEX (Implant)","Goserelin","Goserelin","Subcutaneous","","Goserelin acetate","AstraZeneca Pharmaceuticals LP"
1235,"Dyrenium","Dyrenium (Capsule)","Triamterene","Triamterene","Oral","DB00384","Triamterene","WellSpring Pharmaceutical Corporation"
1236,"Lovenox","Lovenox (Injection)","enoxaparin sodium","enoxaparin","Subcutaneous","","enoxaparin sodium","sanofi-aventis U.S. LLC"
1237,"QUINIDINE GLUCONATE","QUINIDINE GLUCONATE (Tablet, Extended Release)","quinidine gluconate","quinidine","Oral","","quinidine gluconate","URL Mutual Pharmaceutical"
1238,"Normosol-R and Dextrose","Normosol-R and Dextrose (Injection, Solution)","Dextrose","Dextrose","Intravenous","","Dextrose, sodium chloride, sodium acetate, sodium gluconate, potassium chloride, and magnesium chloride","Hospira, Inc."
1239,"AcetaZOLAMIDE","AcetaZOLAMIDE (Injection, Powder, Lyophilized, For Solution)","acetazolamide","acetazolamide","Intravenous","DB00819","Acetazolamide","Bedford Laboratories"
1240,"Estazolam","Estazolam (Tablet)","Estazolam","Estazolam","Oral","DB01215","Estazolam","TEVA PHARMACEUTICALS USA"
1241,"Streptomycin Sulfate","Streptomycin Sulfate (Injection, Solution)","Streptomycin Sulfate","Streptomycin","Intramuscular","","Streptomycin Sulfate","Roerig"
1242,"MEPHYTON","MEPHYTON (Tablet)","phytonadione","phytonadione","Oral","DB01022","phytonadione","Merck&Co., Inc."
1243,"Glyburide","Glyburide (Tablet)","glyburide","glyburide","Oral","","glyburide","sanofi-aventis U.S. LLC"
1244,"Implanon","Implanon (Implant)","etonogestrel","etonogestrel","Subcutaneous","DB00294","etonogestrel","Organon USA, Inc."
1245,"Hydrocortisone Butyrate","Hydrocortisone Butyrate (Cream)","Hydrocortisone Butyrate","Hydrocortisone","Topical","","Hydrocortisone Butyrate","Taro Pharmaceuticals U.S.A., Inc."
1246,"Ofloxacin","Ofloxacin (Solution)","ofloxacin","ofloxacin","Ophthalmic","DB01165","ofloxacin","Apotex Inc."
1247,"Halobetasol Propionate","Halobetasol Propionate (Cream)","Halobetasol Propionate","Halobetasol","Topical","DB00596","Halobetasol Propionate","E. FOUGERA&CO."
1248,"Mometasone Furoate","Mometasone Furoate (Solution)","Mometasone Furoate","Mometasone","Topical","","Mometasone Furoate","Taro Pharmaceuticals U.S.A., Inc."
1249,"Nardil","Nardil (Tablet, Film Coated)","Phenelzine Sulfate","Phenelzine","Oral","","Phenelzine Sulfate","Pfizer Inc."
1250,"Cytomel","Cytomel (Tablet)","liothyronine sodium","liothyronine","Oral","","liothyronine sodium","King Pharmaceuticals, Inc."
1251,"Semprex-D","Semprex-D (Capsule)","acrivastine","acrivastine","Oral","","acrivastine and pseudoephedrine hydrochloride","UCB, Inc."
1252,"Erythromycin","Erythromycin (Solution)","Erythromycin","Erythromycin","Topical","DB00199","Erythromycin","E. FOUGERA&CO."
1253,"Aminosyn II","Aminosyn II (Injection, Solution)","Isoleucine","Isoleucine","Intravenous","","Isoleucine, leucine, lysine, methionine, phenylalanine, threonine, tryptophan, valine, alanine, arginine, Aspartic Acid, Glutamic Acid, histidine, proline, serine, tyrosine and glycine","HOSPIRA, INC."
